page;question
1;I can’t come to a decision unless I have carefully considered all of my options.
1;I take time to read the whole menu when dining out.
1;I will continue shopping for an item until it reaches all of my criteria.
1;I usually continue to search for an item until it reaches my expectations.
1;When shopping, I plan on spending a lot of time looking for something.
1;When shopping, if I can’t find exactly what I’m looking for, I will continue to search for it.
1;I find myself going to many different stores before finding the thing I want.
1;When shopping for something, I don’t mind spending several hours looking for it.
1;I take the time to consider all alternatives before making a decision.
1;When I see something that I want, I always try to find the best deal before purchasing it.
1;If a store doesn’t have exactly what I’m shopping for, then I will go somewhere else.
1;I just won’t make a decision until I am comfortable with the process.
2;No matter what it takes, I always try to choose the best thing.
2;I don’t like having to settle for “good enough”.
2;I am a maximizer.
2;No matter what I do, I have the highest standards for myself.
2;I will wait for the best option, no matter how long it takes.
2;I never settle for second best.
2;I am uncomfortable making decisions before I know all of my options.
2;Whenever I’m faced with a choice, I try to imagine what all the other possibilities are, even ones that aren’t present at the moment.
2;I never settle.
3;I actively seek as much information as I can in new situations.
3;I am at my best when doing something that is complex or challenging.
3;I view challenging situations as an opportunity to grow and learn.
3;I am always looking for experiences that challenge how I think about myself and the world.
3;I frequently seek out opportunities to challenge myself and grow as a person.
4;Tends to be disorganized.
4;Tends to be lazy.
4;Is curious about many different things.
4;Rarely feels excited or eager.
4;Is inventive, finds clever ways to do things.
4;Is systematic, likes to keep things in order.
4;Has difficulty getting started on tasks.
4;Avoids intellectual, philosophical discussions.
4;Is less active than other people.
4;Has little creativity.
4;Keeps things neat and tidy.
4;Is efficient, gets things done.
4;Is complex, a deep thinker.
4;Is full of energy.
4;Has difficulty imagining things.
4;Leaves a mess, doesn’t clean up.
4;Is persistent, works until the task is finished.
4;Has little interest in abstract ideas.
4;Shows a lot of enthusiasm.
4;Is original, comes up with new ideas.

